Marital_status,Course,Previous_qualification,Nacionality,Mothers_occupation,Fathers_occupation,Daytime_evening_attendance,Gender,Debtor,Tuition_fees_up_to_date,Scholarship_holder,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Application_order,Enrolled,Status
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,8,7,13.585714285714284,8,7,13.585714285714284,6,False,Graduate
Single,Oral Hygiene,Secondary education,Portuguese,Administrative staff,Unskilled Workers,Daytime,Female,No,Yes,No,7,7,11.155555555555557,8,8,11.425,1,False,Graduate
Single,Social Service (evening attendance),Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Evening,Male,No,Yes,Yes,7,6,11.857142857142858,6,5,12.0,1,False,Graduate
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,Yes,0,0,0.0,0,0,0.0,1,False,Graduate
Single,Communication Design,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,No,14,14,14.0,13,13,13.615384615384617,1,False,Graduate
Single,Journalism and Communication,Secondary education,Cape Verdean,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,No,No,6,5,12.0,6,0,0.0,2,False,Dropout
Single,Nursing,Secondary education,Cuban,Health professionals,Administrative staff,Daytime,Female,No,Yes,No,7,4,11.575,7,5,12.419999999999998,1,True,Dropout
Single,Nursing,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Female,No,Yes,No,7,7,13.198571428571428,8,8,13.0625,4,False,Graduate
Single,Veterinary Nursing,Secondary education,Cape Verdean,Administrative staff,Unskilled Workers,Daytime,Female,No,Yes,No,6,6,13.5,6,6,12.0,2,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Administrative staff,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,6,13.333333333333334,6,5,12.8,1,False,Dropout
Single,Informatics Engineering,Secondary education,Romanian,cleaning workers,"Skilled construction workers and the like, except electricians",Daytime,Male,No,Yes,No,5,4,14.25,5,1,10.0,4,True,Dropout
Single,Communication Design,Secondary education,Portuguese,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,6,6,12.166666666666666,6,4,12.0,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,8,7,12.214285714285714,8,7,12.214285714285714,3,False,Graduate
Single,Tourism,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Daytime,Female,No,Yes,Yes,6,6,12.666666666666666,6,6,13.0,1,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,6,6,12.285714285714286,6,6,13.5,3,False,Graduate
Single,Tourism,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,6,13.0,6,6,13.0,6,False,Graduate
Single,Tourism,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Daytime,Female,No,Yes,No,6,6,12.142857142857142,6,6,11.166666666666666,2,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,7,7,13.875714285714285,8,7,13.085714285714284,6,False,Graduate
Single,Basic Education,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,6,6,11.666666666666666,6,0,0.0,4,False,Dropout
Single,Veterinary Nursing,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,6,13.153846153846152,6,3,11.0,2,False,Graduate
Single,Communication Design,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,6,14.5,6,6,12.833333333333334,4,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,7,7,14.44142857142857,8,8,13.65625,6,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,Yes,No,6,6,15.166666666666666,6,6,14.285714285714286,2,False,Graduate
Single,Management,Secondary education,Portuguese,Administrative staff,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,Yes,5,5,11.6,5,4,12.625,1,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,Yes,Yes,No,6,6,11.666666666666666,6,6,12.333333333333334,1,False,Graduate
Single,Agronomy,Technological specialization course,Portuguese,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,Yes,Yes,6,6,12.625,6,6,13.2,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,6,3,12.666666666666666,6,6,11.0,2,False,Graduate
Single,Equinculture,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,Yes,Yes,6,6,12.833333333333334,6,6,13.0,1,True,Graduate
Single,Social Service,Secondary education,Portuguese,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,6,11.857142857142858,6,6,13.142857142857142,1,False,Graduate
Single,Basic Education,Secondary education,Portuguese,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,5,11.4,6,4,10.75,2,True,Dropout
Single,Equinculture,Secondary education,Brazilian,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,Daytime,Female,No,Yes,No,5,5,14.857142857142858,5,5,15.142857142857142,1,True,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,6,14.714285714285714,6,6,15.833333333333334,1,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Santomean,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,Yes,Yes,No,6,6,13.5,6,5,13.0,1,False,Graduate
Single,Equinculture,Secondary education,Portuguese,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,5,4,11.5,5,5,12.4,1,False,Graduate
Single,Management,Higher education : degree,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,5,2,14.0,5,0,0.0,1,False,Dropout
Single,Basic Education,Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,7,6,12.833333333333334,6,0,0.0,1,False,Dropout
Single,Oral Hygiene,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,7,7,13.428571428571429,8,8,14.75,2,False,Graduate
Single,Communication Design,Secondary education,Portuguese,Administrative staff,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Single,Agronomy,Technological specialization course,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,3,11.666666666666666,6,4,11.5,1,True,Dropout
Single,Journalism and Communication,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,6,6,16.0,6,6,14.333333333333334,3,False,Graduate
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,6,13.833333333333334,6,6,11.833333333333334,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,8,8,13.2325,8,8,13.2325,5,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,Yes,6,6,14.0,6,6,14.166666666666666,2,False,Graduate
Single,Tourism,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,Daytime,Male,Yes,Yes,Yes,6,2,10.0,6,0,0.0,2,False,Dropout
Single,Social Service (evening attendance),Secondary education,Cape Verdean,Unskilled Workers,Unskilled Workers,Evening,Female,No,Yes,No,16,15,13.333333333333334,13,11,12.272727272727272,1,False,Graduate
Single,Communication Design,Secondary education,Portuguese,Administrative staff,Administrative staff,Daytime,Female,No,Yes,Yes,6,6,12.5,6,6,14.333333333333334,3,True,Graduate
Single,Social Service (evening attendance),Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Evening,Female,No,Yes,No,6,6,12.5,6,6,11.5,1,False,Graduate
Single,Management (evening attendance),Secondary education,Portuguese,Student,Student,Evening,Male,Yes,Yes,No,5,2,10.5,5,0,0.0,1,False,Dropout
Single,Informatics Engineering,Secondary education,Portuguese,Meal preparation assistants,"Workers in food processing, woodworking, clothing and other industries and crafts",Daytime,Male,Yes,Yes,No,5,3,10.666666666666666,5,3,11.333333333333334,4,True,Dropout
Single,Informatics Engineering,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,Daytime,Male,No,Yes,No,5,4,10.5,5,2,10.5,1,True,Dropout
Single,Management,Secondary education,Santomean,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,5,4,12.0,5,5,11.4,1,False,Graduate
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Female,No,Yes,No,0,0,0.0,0,0,0.0,2,True,Graduate
Single,Management,Secondary education,Portuguese,"Office workers, secretaries in general and data processing operators","Skilled construction workers and the like, except electricians",Daytime,Female,No,Yes,No,5,5,11.5,5,2,10.666666666666666,1,True,Dropout
Single,Journalism and Communication,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,Daytime,Female,No,Yes,No,6,6,14.0,6,6,13.5,1,False,Dropout
Single,Basic Education,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,6,13.5,6,5,12.6,5,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,8,8,13.07375,8,8,13.07375,3,False,Graduate
Married,Nursing,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,Daytime,Female,No,Yes,No,7,2,10.75,7,0,0.0,1,False,Dropout
Single,Social Service,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Administrative staff,Daytime,Female,No,Yes,No,6,1,12.0,5,0,0.0,1,True,Dropout
Single,Tourism,Secondary education,Brazilian,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,6,6,14.0,6,6,13.333333333333334,1,False,Graduate
Single,Social Service,Secondary education,Santomean,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Male,No,Yes,No,6,6,12.333333333333334,6,6,13.428571428571429,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Daytime,Female,No,Yes,Yes,7,7,13.464285714285714,8,8,14.788888888888888,1,False,Graduate
Single,Social Service (evening attendance),Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Evening,Female,No,Yes,No,6,3,10.666666666666666,6,5,11.2,1,True,Graduate
Single,Management,Other : 11th year of schooling,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,Yes,Yes,No,5,5,11.6,5,5,12.2,1,True,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Unskilled Workers,Daytime,Female,No,Yes,Yes,6,6,13.666666666666666,6,6,14.666666666666666,2,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,Yes,Yes,No,8,8,14.4025,8,8,14.4025,4,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,7,7,15.46875,8,8,16.3875,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,Administrative staff,Armed Forces Professions,Daytime,Female,Yes,Yes,No,6,6,12.625,6,6,14.166666666666666,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,7,6,14.983333333333334,7,6,14.983333333333334,4,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Administrative staff,Unskilled Workers,Daytime,Female,No,Yes,Yes,6,6,15.0,6,6,13.0,3,False,Graduate
Married,Social Service (evening attendance),Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Evening,Female,No,Yes,No,9,9,15.88888888888889,7,7,14.142857142857142,1,False,Graduate
Single,Veterinary Nursing,Technological specialization course,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,Yes,Yes,No,6,4,11.5,6,3,11.0,1,False,Dropout
Single,Tourism,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,2,10.5,6,1,10.0,4,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,7,6,13.983333333333334,7,6,13.983333333333334,4,False,Graduate
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,6,13.0,6,6,12.833333333333334,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,6,13.666666666666666,6,6,13.0,1,False,Graduate
Single,Agronomy,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,No,No,6,0,0.0,6,0,0.0,1,False,Dropout
Single,Management,Secondary education,Portuguese,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,5,5,14.4,5,5,15.4,1,False,Graduate
Single,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Evening,Female,No,Yes,No,5,4,12.0,5,4,11.25,1,True,Graduate
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,Administrative staff,Daytime,Female,No,Yes,No,6,6,14.166666666666666,6,6,13.666666666666666,1,False,Graduate
Single,Social Service (evening attendance),Secondary education,Portuguese,Student,Student,Evening,Female,No,Yes,No,6,5,12.2,6,6,12.0,2,False,Graduate
Single,Management,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,5,3,12.0,5,3,12.666666666666666,2,True,Dropout
Single,Management,Secondary education,Portuguese,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,Yes,No,5,2,10.5,5,1,11.0,4,True,Dropout
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,Armed Forces Professions,Daytime,Female,No,Yes,No,6,3,12.333333333333334,6,2,10.5,1,False,Dropout
Single,Basic Education,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Daytime,Female,No,Yes,No,6,5,12.2,6,5,12.2,4,True,Graduate
Single,Agronomy,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,Yes,No,No,7,6,11.5,7,6,13.166666666666666,1,True,Dropout
Single,Management,Higher education : degree,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,9,9,10.88888888888889,10,10,11.615384615384617,1,False,Graduate
Single,Oral Hygiene,Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,7,6,12.166666666666666,8,8,11.675,1,False,Dropout
Single,Management,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,5,2,10.0,5,1,12.0,1,True,Dropout
Single,Communication Design,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Daytime,Female,No,Yes,Yes,6,6,12.666666666666666,6,6,12.166666666666666,1,False,Graduate
Single,Communication Design,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Daytime,Female,Yes,Yes,No,6,5,11.4,6,5,12.2,1,False,Dropout
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,0,0,0.0,0,0,0.0,1,False,Dropout
Single,Veterinary Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,5,2,13.0,5,4,12.0,3,True,Graduate
Single,Basic Education,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,5,13.4,6,5,12.0,3,True,Graduate
Single,Basic Education,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Daytime,Female,No,Yes,Yes,6,6,13.5,6,5,12.8,3,False,Dropout
Single,Tourism,Secondary education,Portuguese,Administrative staff,Unskilled Workers,Daytime,Female,No,Yes,No,6,4,12.25,6,3,11.333333333333334,1,True,Dropout
Single,Social Service,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,6,6,12.285714285714286,6,6,12.833333333333334,3,False,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,No,No,5,0,0.0,5,0,0.0,5,False,Dropout
Single,Social Service,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,2,10.5,6,1,13.0,1,False,Dropout
Married,Veterinary Nursing,Technological specialization course,Portuguese,"Unskilled workers in agriculture, animal production, fisheries and forestry","Unskilled workers in agriculture, animal production, fisheries and forestry",Daytime,Female,No,Yes,No,5,3,14.0,5,5,12.0,1,False,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,5,5,14.2,5,5,12.2,1,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,5,13.0,6,6,13.142857142857142,1,False,Dropout
Single,Tourism,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,6,11.0,6,4,12.75,4,False,Graduate
Married,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Female,No,Yes,No,8,3,11.0,7,2,10.0,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,7,6,12.385714285714286,8,8,13.755555555555556,2,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Male,No,Yes,No,6,4,14.75,6,4,12.25,2,False,Graduate
Single,Equinculture,Secondary education,Brazilian,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,5,5,16.166666666666668,5,5,15.833333333333334,1,False,Graduate
Single,Management (evening attendance),Secondary education,Portuguese,Administrative staff,Unskilled Workers,Evening,Male,No,Yes,No,5,0,0.0,5,0,0.0,1,False,Dropout
Single,Informatics Engineering,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Unskilled Workers,Daytime,Male,No,Yes,No,5,5,12.4,5,3,13.0,4,False,Dropout
Single,Equinculture,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,No,No,6,5,11.6,6,4,13.0,1,False,Dropout
Single,Basic Education,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,5,12.2,6,0,0.0,1,False,Dropout
Single,Tourism,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Daytime,Female,No,Yes,Yes,6,5,11.0,6,5,12.8,1,False,Graduate
Single,Basic Education,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,6,6,12.333333333333334,6,5,12.4,2,False,Dropout
Single,Social Service,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,6,6,14.833333333333334,6,6,12.571428571428571,1,False,Graduate
Single,Communication Design,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Female,No,Yes,No,10,9,11.555555555555555,11,10,11.9,1,True,Graduate
Single,Communication Design,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,6,6,12.0,6,6,11.833333333333334,1,False,Graduate
Single,Social Service (evening attendance),Professional higher technical course,Portuguese,"Intermediate level technicians from legal, social, sports, cultural and similar services","Unskilled workers in extractive industry, construction, manufacturing and transport",Evening,Female,Yes,Yes,Yes,13,11,12.727272727272728,11,10,12.6,1,False,Graduate
Single,Management (evening attendance),Secondary education,Brazilian,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Evening,Female,No,Yes,No,2,2,10.5,1,1,11.0,1,False,Dropout
Single,Journalism and Communication,Secondary education,Cape Verdean,Intermediate Level Technicians and Professions,Unskilled Workers,Daytime,Female,No,Yes,No,6,6,12.333333333333334,6,6,12.0,4,False,Graduate
Single,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Male,No,Yes,No,5,0,0.0,5,1,12.0,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,Administrative staff,Intermediate Level Technicians and Professions,Daytime,Male,No,Yes,No,7,7,14.842857142857143,8,8,14.38888888888889,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Administrative staff,Administrative staff,Daytime,Male,No,Yes,No,7,7,12.2,7,7,12.2,1,True,Graduate
Single,Management,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,Yes,5,4,10.8,5,4,11.75,1,True,Graduate
Single,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Evening,Male,No,Yes,No,5,4,12.75,5,5,14.333333333333334,9,True,Graduate
Single,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Evening,Male,No,Yes,No,5,2,11.0,5,1,12.0,1,False,Dropout
Single,Tourism,Secondary education,Portuguese,Student,"Personal Services, Security and Safety Workers and Sellers",Daytime,Male,No,Yes,No,6,4,10.75,6,0,0.0,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Daytime,Male,No,Yes,No,8,8,12.55375,8,8,12.55375,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Administrative staff,Administrative staff,Daytime,Male,No,Yes,No,8,7,12.665714285714284,8,7,12.665714285714284,4,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Daytime,Male,No,Yes,No,6,6,12.714285714285714,6,4,13.0,1,True,Graduate
Single,Oral Hygiene,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Administrative staff,Daytime,Male,No,Yes,No,7,2,11.75,5,0,0.0,2,False,Dropout
Single,Tourism,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,No,No,6,3,11.0,6,0,0.0,2,False,Dropout
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Male,No,Yes,No,0,0,0.0,0,0,0.0,2,False,Graduate
Single,Management,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,No,5,5,13.4,5,5,12.2,1,False,Graduate
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,No,17,17,12.578947368421051,17,17,12.117647058823527,2,False,Graduate
Married,Informatics Engineering,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,No,5,0,0.0,5,0,0.0,1,False,Dropout
Single,Journalism and Communication,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,Yes,6,6,12.0,6,6,11.5,1,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Male,No,Yes,No,6,3,12.333333333333334,6,0,0.0,5,False,Dropout
Single,Management (evening attendance),Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Evening,Male,No,Yes,No,5,4,11.5,5,3,13.5,1,False,Dropout
